Movie_Title,Genre,Director,Release_Year,Budget,Box_Office,Runtime,IMDB_Rating,Language,Production_Company,Release_Month,Critic_Reviews,Audience_Reviews,Hit_Or_Flop,Tomatometer
That rest popular choice.,Drama,Andrew Krause,2017,183.299,4269.9,84.0,9.66,Japanese,Sony Pictures,Sep,9.8,7.0,Hit,37
Know fear reach.,Comedy,Nicholas Bates,2004,197.244,3297.0,108.0,3.87,German,Universal Pictures,Apr,7.2,6.2,Hit,16
Maintain pass officer change.,Horror,Hayden Tyler,2003,250.18,366.248,147.0,2.09,Japanese,Fox,Apr,8.2,8.8,Hit,58
Wish population role.,Action,Jennifer Smith,1994,200.398,348.383,82.0,2.71,Japanese,Disney,Oct,7.2,2.9,Hit,26
Indeed series herself.,Comedy,Randall Wilson,2018,,1434.32,80.0,3.86,French,Lionsgate,Jul,8.7,6.8,Flop,74
Live finally tough catch space.,Drama,Maria Gilbert,2006,8.777,90.581,104.0,5.17,Spanish,Universal Pictures,Jan,1.4,3.2,Hit,35
Since big.,Romance,Tasha Reyes,2005,126.438,254.35,118.0,7.78,Spanish,Fox,May,0.2,9.6,Hit,53
Affect religious important.,Sci-Fi,Dana Bryant,2007,46.435,1560.82,135.0,9.42,Mandarin,Universal Pictures,Feb,6.1,6.7,Hit,80
Idea require.,Horror,Stephanie Alvarez,1992,190.214,157.674,102.0,3.92,Japanese,Universal Pictures,May,7.6,8.1,Flop,68
Enough decide throw.,Sci-Fi,Tasha Reyes,2007,24.701,413.39,,6.02,Japanese,Universal Pictures,Mar,8.3,9.9,Hit,39
Doctor bit hit chance.,Drama,Randy Lewis,2001,182.648,46.763,80.0,8.51,Hindi,Paramount,Oct,1.0,0.3,Flop,29
Occur anyone guy physical.,Sci-Fi,Dana Bryant,2008,173.113,412.042,130.0,9.26,English,Warner Bros,Jul,4.7,4.7,Hit,4
People carry shake laugh majority.,Horror,Randy Lewis,2012,77.186,286.788,131.0,4.58,Hindi,Warner Bros,Jun,5.0,4.9,Hit,46
Finally class million night.,Romance,Tammy Gonzalez,1995,223.514,199.42,169.0,3.17,Japanese,Sony Pictures,Jan,2.5,9.3,Flop,49
Else of agree other party.,Sci-Fi,Kimberly Jimenez,2003,127.821,362.398,112.0,7.41,German,New Line Cinema,Aug,0.1,8.3,Hit,40
Thousand road.,Drama,Jimmy Sosa,1991,55.752,1319.6299999999999,133.0,3.96,German,Universal Pictures,Jul,4.2,6.5,Hit,53
Someone whatever someone theory.,Horror,Mr. Brian Tucker,2000,88.968,38.59,,3.69,English,Lionsgate,Sep,1.2,2.0,Flop,8
Individual believe for.,Action,Carol Diaz,2003,199.163,336.544,81.0,5.95,Spanish,Sony Pictures,Jul,7.0,8.3,Hit,6
Billion however start figure this.,Action,Emily Lewis DDS,2016,28.663,82.679,155.0,5.85,Japanese,Lionsgate,Feb,6.5,4.3,Hit,36
Medical officer able.,Comedy,Joanne Harris,2023,160.249,438.673,164.0,4.07,English,Warner Bros,Nov,8.6,5.3,Hit,18
Hair fear across someone.,Horror,Kathleen Adkins,1991,254.287,124.054,,7.12,Hindi,Sony Pictures,Jan,0.4,7.1,Flop,87
Thousand seat herself.,Horror,Yvonne Reynolds,2017,32.277,218.972,177.0,8.62,Spanish,Fox,Mar,1.2,7.0,Hit,44
State subject.,Drama,Donna Richards,1993,256.74,129.827,85.0,7.67,Spanish,Disney,Dec,8.5,8.4,Flop,92
Certainly parent pressure three.,Horror,Paul Watson,2019,231.86,185.142,172.0,2.33,Hindi,New Line Cinema,Dec,3.0,6.0,Flop,20
Cell together professional say.,Horror,Melissa Smith,2008,24.863,311.42,174.0,6.57,Hindi,Disney,Jun,3.9,9.4,Hit,78
Might evening school.,Romance,Dana Bryant,2014,68.868,21.192,165.0,9.71,Spanish,Paramount,Jul,1.2,0.6,Flop,65
Imagine scientist top.,Horror,Maria Gilbert,2016,187.784,18.883,171.0,3.27,English,Disney,Apr,4.9,0.1,Flop,17
Traditional boy example.,Sci-Fi,Ashley Williams,1994,11.346,300.586,148.0,5.5,English,Fox,Nov,6.9,1.5,Hit,96
Since big mean.,Romance,Sean Sullivan,1993,,283.155,123.0,2.97,Spanish,Warner Bros,Feb,9.1,2.8,Hit,13
Street popular.,Horror,George Williams,2020,80.159,95.42,137.0,9.41,German,Fox,Aug,4.4,9.9,Hit,98
Offer maintain beyond someone.,Comedy,Maria Gilbert,2010,112.095,95.95,124.0,5.4,Hindi,Sony Pictures,Oct,9.1,,Flop,80
Must win manager.,Comedy,Tammy Gonzalez,1994,139.824,158.551,106.0,6.42,English,Disney,Dec,4.6,8.9,Hit,35
Service these tree report.,Thriller,Kayla Mcconnell,1998,105.523,106.445,145.0,4.48,Mandarin,New Line Cinema,Aug,8.3,1.6,Hit,53
Respond home drive change avoid.,Comedy,Andrew Krause,1993,248.296,257.818,138.0,4.4,Mandarin,Lionsgate,Oct,5.1,9.5,Hit,42
Case for expect quality culture.,Sci-Fi,Maria Gilbert,1995,198.405,354.038,179.0,9.7,Japanese,Lionsgate,Nov,0.2,9.6,Hit,95
Camera business structure citizen.,Romance,Ruben Lynch,1998,97.68,449.225,,2.3,Mandarin,Universal Pictures,Mar,3.2,4.2,Hit,20
Already during detail.,Action,Kayla Mcconnell,1993,36.532,298.483,118.0,1.34,French,Warner Bros,Aug,6.7,1.5,Hit,22
Number protect.,Sci-Fi,Joseph Moore,2020,221.17,283.415,98.0,3.5,German,Sony Pictures,Dec,4.5,5.8,Hit,95
Learn remain.,Sci-Fi,Andrew Krause,2013,170.709,756.9799999999999,96.0,5.06,German,Lionsgate,Apr,2.7,4.4,Flop,11
Deal role pattern family election.,Action,Ruben Lynch,2004,43.957,140.134,153.0,6.01,Japanese,Warner Bros,Sep,2.1,3.2,Hit,37
Financial well summer.,Drama,Heidi Ritter,2004,241.258,466.744,117.0,6.91,French,Paramount,Feb,9.1,6.7,Hit,29
Art represent court economy.,Sci-Fi,Tammy Gonzalez,2016,153.268,116.894,164.0,1.99,German,Fox,May,3.1,9.3,Flop,46
Product party everybody until.,Horror,Ruben Lynch,2005,127.336,55.457,,4.31,Mandarin,Lionsgate,Jun,0.7,9.7,Flop,0
Month shake total.,Drama,Dana Bryant,2019,50.648,397.356,141.0,5.9,French,Paramount,Dec,2.5,7.0,Hit,82
No could.,Horror,Jimmy Morton,2006,218.52,218.733,148.0,9.49,French,Paramount,Jul,2.0,4.1,Hit,94
Picture whole prove white.,Drama,Dustin Mosley,1995,26.757,450.935,,9.62,Hindi,Fox,Apr,3.0,9.5,Hit,56
Bed dark.,Sci-Fi,Mr. Brian Tucker,1994,143.509,336.281,173.0,3.92,Spanish,Universal Pictures,May,9.4,,Hit,12
