Release_Year,Budget,Box_Office,Runtime,IMDB_Rating,Critic_Reviews,Audience_Reviews,Hit_Or_Flop,Tomatometer,Genre_Comedy,Genre_Drama,Genre_Horror,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Language_French,Language_German,Language_Hindi,Language_Japanese,Language_Mandarin,Language_Spanish,Release_Month_Aug,Release_Month_Dec,Release_Month_Feb,Release_Month_Jan,Release_Month_Jul,Release_Month_Jun,Release_Month_Mar,Release_Month_May,Release_Month_Nov,Release_Month_Oct,Release_Month_Sep
2003,250.18,366.248,147.0,2.09,8.2,8.8,1,58,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1994,200.398,348.383,82.0,2.71,7.2,2.9,1,26,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2006,8.777,90.581,104.0,5.17,1.4,3.2,1,35,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
2005,126.438,254.35,118.0,7.78,0.2,9.6,1,53,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1992,190.214,157.674,102.0,3.92,7.6,8.1,0,68,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2007,24.701,413.39,131.0,6.02,8.3,9.9,1,39,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2001,182.648,46.763,80.0,8.51,1.0,0.3,0,29,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2008,173.113,412.042,130.0,9.26,4.7,4.7,1,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2012,77.186,286.788,131.0,4.58,5.0,4.9,1,46,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1995,223.514,199.42,169.0,3.17,2.5,9.3,0,49,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2003,127.821,362.398,112.0,7.41,0.1,8.3,1,40,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
